Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,Description
0x80,RW,FLASH,YES,0xF400,REG[0].DevAddr
0x81,RW,FLASH,YES,0xF401,REG[0].Value
0x82,RW,FLASH,YES,0xF402,REG[0].Offset[MSB]
0x83,RW,FLASH,YES,0xF403,REG[0].Offset[LSB]
0x84,RW,FLASH,YES,0xF404,REG[1].DevAddr
0x85,RW,FLASH,YES,0xF405,REG[1].Value
0x86,RW,FLASH,YES,0xF406,REG[1].Offset[MSB]
0x87,RW,FLASH,YES,0xF407,REG[1].Offset[LSB]
бн,,,,,бн
0x8C,RW,FLASH,YES,0xF48C,REG[31].DevAddr
0xFD,RW,FLASH,YES,0xF48D,REG[31].Value
0xFE,RW,FLASH,YES,0xF48E,REG[31].Offset[MSB]
0xFF,RW,FLASH,YES,0xF48F,REG[31].Offset[LSB]
